episode,steps,manifest_target_hz,alignment_mode,dropped_without_future_action,same_step_xyz_error_mm_mean,same_step_xyz_error_mm_p95,next_step_xyz_error_mm_mean,teleop_lead_ms_mean,teleop_lead_ms_p95,target_minus_robot_z_mm_mean,target_z_min,robot_z_min,first_command_close_step,first_measured_closed_step,measured_close_delay_steps
episode_0000,90,10.0,causal_observation_future_action,8,16.57081580052892,33.87962655786496,9.499563674361935,12.097321616278755,25.190210342407227,3.8025823850637783,0.3861676500581974,0.38230085372924805,16,30,14
episode_0001,83,10.0,causal_observation_future_action,16,15.480042045014253,26.981015251635725,8.747051379496321,12.96206267483263,25.20275115966797,2.490520888628636,0.38394082966082665,0.3819637596607208,18,33,15
episode_0002,83,10.0,causal_observation_future_action,8,17.419405979845905,34.09801956485772,9.78615503301176,12.013728360095657,23.65753650665283,2.741903446404322,0.38495634422516245,0.3818126618862152,20,33,13
episode_0003,92,10.0,causal_observation_future_action,7,16.61755760722526,31.83103518572933,9.342693580891615,12.392850025840428,23.816347122192383,2.673101831914662,0.3758181429596199,0.3744356334209442,21,35,14
episode_0004,104,10.0,causal_observation_future_action,8,15.370135411832418,28.790451423466298,9.046943100823217,13.47271754191472,24.06239509582519,3.137478441780801,0.3789519099086185,0.3752763867378235,22,35,13
episode_0005,84,10.0,causal_observation_future_action,14,17.615324987368698,31.778953977590675,9.993568665482682,12.579038029625304,22.08397388458252,3.288558773401417,0.37417292906754174,0.37020042538642883,18,30,12
episode_0006,87,10.0,causal_observation_future_action,9,18.410715325786086,31.446820034407978,10.416016516305652,12.777320269880622,23.64647388458252,3.1033465571883196,0.3746158056994391,0.3697989881038666,19,33,14
episode_0007,92,10.0,causal_observation_future_action,8,16.232500301086183,30.803799258596563,9.53412979486495,13.694130856057873,24.19677972793579,2.867866731435421,0.3764551856537097,0.3758922815322876,24,36,12
episode_0008,107,10.0,causal_observation_future_action,5,17.595351388778802,33.4521023637388,9.709634693115323,11.923890247523227,24.014401435852047,3.570407463954258,0.38162043679988233,0.38023924827575684,28,42,14
episode_0009,102,10.0,causal_observation_future_action,13,15.973077643129805,31.16091400076243,8.599066982535524,9.871940986782896,22.16122150421142,3.6817428965802543,0.3763283151159964,0.3734240233898163,24,36,12
episode_0010,112,10.0,causal_observation_future_action,12,15.919352165090887,31.12055235159805,8.674429896550379,11.174240282603673,22.374558448791504,3.5191879659492047,0.382290248284352,0.3792533278465271,32,45,13
episode_0011,97,10.0,causal_observation_future_action,9,16.830729203805316,33.50593539612724,9.804239915373216,10.798815599421864,21.94857597351074,3.412355149709973,0.37835820877430715,0.3732943534851074,24,38,14
episode_0012,120,10.0,causal_observation_future_action,13,14.164573435720442,30.82936487880951,7.94756601850196,12.654640277226767,24.04729127883911,3.263934945516796,0.3843250370002589,0.381734162569046,30,42,12
episode_0013,103,10.0,causal_observation_future_action,13,15.609981909890964,29.481317076385086,8.762506388834366,11.406023525497288,26.123404502868652,3.00020382759326,0.38255596717375706,0.3807910978794098,23,38,15
episode_0014,97,10.0,causal_observation_future_action,5,16.509208397019602,32.67638624097893,8.95834652612838,12.282509164711865,24.11918640136717,2.7738221348459806,0.3736623638681231,0.370669424533844,24,37,13
episode_0015,92,10.0,causal_observation_future_action,5,16.535439345670316,31.63437004319302,9.170363787475079,12.669677319733994,24.867773056030273,2.3588841896610675,0.37496380581416977,0.37269312143325806,23,36,13
episode_0016,96,10.0,causal_observation_future_action,12,16.520336920816124,32.267471089485745,8.829769162208118,11.059395968914032,23.277103900909424,2.9292557321774124,0.3763367176407666,0.37401285767555237,23,36,13
episode_0017,95,10.0,causal_observation_future_action,5,18.039110317313238,33.79806599187827,10.194150807624359,13.549054296393145,23.94237518310547,2.634048240636208,0.37800444576348147,0.3760649859905243,20,33,13
episode_0018,95,10.0,causal_observation_future_action,5,18.95540224524885,36.31397124595252,10.1755089885086,14.049090837177477,23.889875411987305,4.19422753170541,0.37111332567706334,0.3664834201335907,21,35,14
episode_0019,99,10.0,causal_observation_future_action,14,16.29690875746596,31.79736528980309,8.63242150209866,13.02169549344766,23.29535484313965,2.756432159447735,0.38043467501785466,0.3793899118900299,26,38,12
episode_0020,88,10.0,causal_observation_future_action,6,16.62130963267308,33.37226863606332,9.464155285123978,13.154054229909724,24.763381481170654,2.8241556016503657,0.37821735975266035,0.3779118061065674,21,33,12
episode_0021,82,10.0,causal_observation_future_action,15,16.712280434434188,32.00833268474704,8.706644519993391,11.604288729225717,23.299407958984375,2.6032798320551245,0.38019218161628077,0.3780287504196167,21,34,13
episode_0022,102,10.0,causal_observation_future_action,9,15.722758396444602,29.019943427731153,8.988993588694525,11.9782475864186,23.968648910522454,3.297536661796162,0.36847769061987234,0.3655255138874054,30,43,13
episode_0023,87,10.0,causal_observation_future_action,15,16.798630610313687,34.7402639631246,8.899050027413676,12.827174416903791,24.66862201690674,2.810566749111245,0.38033841295552406,0.378860205411911,22,35,13
episode_0024,86,10.0,causal_observation_future_action,9,17.0495118051568,35.959835661769965,9.402470644112062,13.784311538518862,23.577332496643066,2.7159100687743116,0.37462885017845826,0.3718765676021576,22,35,13
episode_0025,89,10.0,causal_observation_future_action,3,16.852960715804755,34.21764543915481,9.247707114307307,12.637250878837673,24.10402297973632,2.8492565360745745,0.38004315905842834,0.3795448839664459,20,33,13
episode_0026,97,10.0,causal_observation_future_action,9,15.578504212746793,32.28244944785687,8.59355770072985,13.042304933685617,22.791481018066403,2.552178003899318,0.3799035185737383,0.3773622512817383,23,35,12
episode_0027,107,10.0,causal_observation_future_action,6,16.33929000777228,31.570056170593,9.560834716993439,12.226559291376132,24.726963043212887,2.5508580329320574,0.35674311916413437,0.36646127700805664,24,37,13
episode_0028,104,10.0,causal_observation_future_action,11,16.651771350072256,31.40117168432216,9.538939904951798,13.421375017899733,23.731589317321777,3.297129960486931,0.3684491431845789,0.3662913143634796,24,37,13
episode_0029,89,10.0,causal_observation_future_action,9,17.318724127783288,33.6488801532979,9.476921957316398,12.076061763120501,24.19023513793945,3.446828275119505,0.38721574172728257,0.38774600625038147,22,34,12
episode_0030,87,10.0,causal_observation_future_action,9,17.986651074548135,35.10947873773855,9.366091960011746,11.53107621203894,23.781919479370117,3.2161917896725627,0.3833059888938801,0.38206684589385986,21,35,14
episode_0031,87,10.0,causal_observation_future_action,9,17.02493430969818,39.07485035565345,9.218207506233306,12.628859487073175,22.65732288360596,2.27910146724884,0.3849796891803168,0.38229551911354065,17,29,12
episode_0032,102,10.0,causal_observation_future_action,7,16.11399542133916,33.0892866575175,9.082065678562135,10.918051588769053,22.02298641204834,2.607465877842813,0.3758856103160766,0.373911052942276,22,37,15
episode_0033,96,10.0,causal_observation_future_action,14,16.04810651591006,29.632599671332443,9.823529914986118,12.371984620889029,23.57727289199829,3.61141851108931,0.3849732911900472,0.38194745779037476,21,34,13
episode_0034,113,10.0,causal_observation_future_action,12,14.819484927100508,31.191100232872625,8.535873659208237,11.16015847805327,23.698520660400384,2.6545464009445796,0.3828611090004861,0.3821250796318054,27,39,12
episode_0035,104,10.0,causal_observation_future_action,9,15.61013577282465,30.21786212210718,9.177985858732363,11.817737267567562,23.079764842987057,2.7158337913014785,0.37755080083120696,0.376634806394577,29,41,12
episode_0036,95,10.0,causal_observation_future_action,12,14.944041734986767,34.70660413926617,8.008076644042808,11.318713740298621,24.225807189941406,2.4706191538989652,0.389906993567009,0.3877733647823334,24,36,12
episode_0037,107,10.0,causal_observation_future_action,12,16.055576003843942,30.77930256157913,9.001104960839099,12.65983492414528,23.751878738403313,3.63811005021887,0.3895816968080652,0.386905312538147,26,38,12
episode_0038,109,10.0,causal_observation_future_action,7,15.341027077689633,32.58281216435964,8.714520167779005,12.262878067996523,23.713922500610348,3.6860233662140818,0.3853463127319352,0.3833748996257782,26,39,13
episode_0039,94,10.0,causal_observation_future_action,11,16.71350776806505,34.70209762774073,9.303176812669195,13.41207483981518,25.158071517944336,2.5321584487026336,0.3800262327647044,0.37882107496261597,20,35,15
