policy,demo,start_step,horizon,xyz_error_mm_mean,xyz_error_mm_final,z_error_mm_mean,z_error_mm_min,gripper_abs_error_mean,pred_gripper_max,gt_gripper_max,error,checkpoint
dp_state,demo_000,0,12,21.674986635641766,17.323826156999093,6.047772864500682,-3.2959580421447754,0.0021196107069651284,0.009817540645599365,0.0,,
dp_state,demo_000,29,12,8.672139721874094,15.171381380508091,-1.6170690457026164,-6.0183703899383545,0.0009297331174214681,1.0,1.0,,
dp_state,demo_000,58,12,28.598967284593133,32.36906395942863,-17.8337295850118,-37.05453872680664,0.0024454047282536826,1.0,1.0,,
dp_state,demo_000,87,12,20.139769789452437,38.336923735994,-18.331391115983326,-34.85146164894104,0.0006279274821281433,0.003314584493637085,0.0,,
dp_state,demo_001,0,12,27.463056405976985,27.727278592965302,-4.111538330713908,-10.772705078125,0.0007374087969462076,0.003412872552871704,0.0,,
dp_state,demo_001,27,12,6.76663874412765,3.1104747072438537,-0.4378681381543477,-6.039053201675415,0.0006056080261866251,1.0,1.0,,
dp_state,demo_001,53,12,20.105255436198885,15.333974224611937,15.433634320894877,4.596114158630371,0.0006921092669169108,1.0,1.0,,
dp_state,demo_001,80,12,8.040414975511718,10.27972746880646,-5.442753434181213,-12.84077763557434,0.0015266040960947673,0.008003413677215576,0.0,,
dp_state,demo_002,0,12,20.223299202109402,44.06789344745748,-5.901321768760681,-38.98528218269348,0.0020445684591929116,0.007498294115066528,0.0,,
dp_state,demo_002,29,12,7.182811551543594,9.043487209221961,-0.590259830156962,-5.2693188190460205,0.001514717936515808,1.0,1.0,,
dp_state,demo_002,58,12,20.444382744337506,27.609112948439684,9.523500998814901,-6.1356425285339355,0.0016406228144963582,1.0,1.0,,
dp_state,demo_002,87,12,9.503785105900779,4.950873068205704,-0.39172420899073285,-8.212268352508545,0.0024897406498591104,0.008940696716308594,0.0,,
dp_state,demo_003,0,12,12.644508030320923,21.647956243472443,8.266749481360117,-2.193272113800049,0.0023690188924471536,0.006415724754333496,0.0,,
dp_state,demo_003,30,12,6.539140587878765,9.771439171920951,2.6970033844312034,-5.767017602920532,0.0010566612084706624,1.0,1.0,,
dp_state,demo_003,59,12,15.625125522974859,29.24712138354769,-8.19771240154902,-28.15788984298706,0.002047265569368998,1.0,1.0,,
dp_state,demo_003,89,12,13.74663085687185,6.365322421364266,10.595917701721191,-1.0568797588348389,0.0019479021430015564,0.006621003150939941,0.0,,
dp_state,demo_004,0,12,13.559418694384977,14.619006008325169,-3.845666845639547,-10.992676019668579,0.0028589939077695212,0.007962554693222046,0.0,,
dp_state,demo_004,31,12,12.033621351498375,17.782738693769264,-2.5615369280179343,-12.044668197631836,0.07615929593642552,1.0,1.0,,
dp_state,demo_004,62,12,13.567137542624218,10.122946178835795,-3.870976467927297,-9.677648544311523,0.0009417831897735596,1.0,1.0,,
dp_state,demo_004,93,12,16.614217453916176,27.289042959521858,-10.602270563443502,-22.36872911453247,0.0022579034169514975,0.00926816463470459,0.0,,
dp_state,demo_005,0,12,17.795891595118167,34.313227914340054,14.161288738250732,1.353621482849121,7.971127827962239e-05,0.0007945895195007324,0.0,,
dp_state,demo_005,22,12,13.119196586326527,21.020554141038485,-0.5138739943504333,-21.09929919242859,0.0004586130380630493,1.0,1.0,,
dp_state,demo_005,44,12,17.261658923481637,31.959571322744566,10.499899586041769,-0.7945895195007324,0.003446365396181742,1.0,1.0,,
dp_state,demo_005,66,12,13.923137363159594,32.67928126594938,-6.277839342753093,-29.589146375656128,0.003568147619565328,0.007669985294342041,0.0,,
sfp_state,,,,,,,,,,,missing checkpoint,/home/zhenya/kenny/visuotact/vt_franka/robot_workspace/data/train/mpd/sfp/sfp_state/best_model.pth
mpd_state,demo_000,0,12,25.603509597768717,28.31141483189671,-1.1685887972513835,-14.750063419342041,0.017346528669198353,0.0184972882270813,0.0,,
mpd_state,demo_000,29,12,8.004551424090739,20.4160682518051,-1.972836752732595,-7.7776312828063965,0.09511021276315053,1.1084370613098145,1.0,,
mpd_state,demo_000,58,12,9.604035830602244,12.995386663354296,-7.930261393388113,-14.860391616821289,0.014720077315966288,1.0334107875823975,1.0,,
mpd_state,demo_000,87,12,23.28285056459421,35.2179705598943,-22.52482871214549,-34.6720814704895,0.11265367269515991,0.6603999137878418,0.0,,
mpd_state,demo_001,0,12,25.977285280515623,21.173067989114188,-2.2680635253588357,-5.746304988861084,0.016350137690703075,0.01839911937713623,0.0,,
mpd_state,demo_001,27,12,8.411094680708368,17.91102760770003,-6.832612057526906,-13.27425241470337,0.09310286243756612,1.1082576513290405,1.0,,
