policy,demo,start_step,horizon,xyz_error_mm_mean,xyz_error_mm_final,z_error_mm_mean,z_error_mm_min,gripper_abs_error_mean,pred_gripper_max,gt_gripper_max
dp_state,demo_000,0,12,32.14519441795674,17.81412660009642,3.3679033319155374,-7.893651723861694,0.0038042068481445312,0.008938759565353394,0.0
dp_state,demo_000,12,12,11.891624008310217,12.444682125738202,-4.240413506825765,-22.36044406890869,0.23709854980309805,0.9980099201202393,1.0
dp_state,demo_000,25,12,12.76639170270636,16.72269903885826,-8.506918946901957,-12.828350067138672,0.011337722341219584,1.0,1.0
dp_state,demo_000,37,12,54.690249064787835,104.8210911357246,2.7367398142814636,-21.671324968338013,0.001558577020963033,1.0,1.0
dp_state,demo_000,50,12,22.57581650011013,20.76611631661251,8.24326773484548,-11.994659900665283,0.002166519562403361,1.0,1.0
dp_state,demo_000,62,12,10.884832565392458,15.065092334986092,-5.050100386142731,-15.286922454833984,0.03954292833805084,1.0,1.0
dp_state,demo_000,75,12,9.551741376003895,8.578713608533619,-2.020190159479777,-6.372034549713135,0.1257166067759196,0.9986996650695801,1.0
dp_state,demo_000,87,12,21.675967621940405,33.1633839136154,-19.47816212972005,-34.302085638046265,0.023580911258856457,0.25064873695373535,0.0
dp_state,demo_001,0,12,31.287830854950162,32.74460437575404,-0.24309754371643066,-16.08729362487793,0.0022926156719525657,0.007765024900436401,0.0
dp_state,demo_001,11,12,13.206960741300238,11.846158345715798,-1.5741412838300068,-11.810600757598877,0.07626071820656459,0.9932422041893005,1.0
dp_state,demo_001,23,12,12.051678921325362,14.321724449507993,-6.121357282002767,-13.264864683151245,0.018089036146799724,1.0,1.0
dp_state,demo_001,34,12,25.461709967877322,47.59712253734438,5.807310342788696,-5.059272050857544,0.0048261334498723345,1.0,1.0
dp_state,demo_001,46,12,23.50800846711033,19.798721352433706,-4.756562411785126,-11.68850064277649,0.0036741942167282104,1.0,1.0
dp_state,demo_001,57,12,12.083105900798618,7.442076765560016,-3.9127568403879804,-16.348719596862793,0.0031786312659581504,1.0,1.0
dp_state,demo_001,69,12,7.709025043231295,5.671945243302827,-2.030499279499054,-7.530927658081055,0.21144544581572214,1.0,0.0
dp_state,demo_001,80,12,17.48474206161736,27.01073363894338,-14.794580638408661,-29.87632155418396,0.1190080593029658,0.816657543182373,0.0
dp_state,demo_002,0,12,20.848718215398318,27.655045244132385,3.3804948131243386,-21.648675203323364,0.00679606447617213,0.02310967445373535,0.0
dp_state,demo_002,12,12,31.899559584135915,31.97925805254971,-28.89096240202586,-40.53738713264465,0.42189591377973557,1.0,0.0
dp_state,demo_002,25,12,10.838801739329107,6.06131634396513,-3.1103466947873435,-7.161647081375122,0.09404656042655309,1.0,1.0
dp_state,demo_002,37,12,12.356303403982324,30.4262910880322,-3.9694855610529585,-22.904783487319946,0.0019508500893910725,1.0,1.0
dp_state,demo_002,50,12,56.99101634648077,50.13965068162093,-5.630965034166972,-14.223039150238037,0.002671708663304647,1.0,1.0
dp_state,demo_002,62,12,21.65485355600816,23.92892723311893,-10.79933096965154,-31.00532293319702,0.003771662712097168,1.0,1.0
dp_state,demo_002,75,12,17.441719196627623,24.538324904973827,0.7668758432070414,-3.827393054962158,0.3472880447904269,1.0,1.0
dp_state,demo_002,87,12,17.53704436640073,32.51311188036345,-2.0874092976252236,-18.873244524002075,0.026151011387507122,0.12450239062309265,0.0
dp_state,demo_003,0,12,19.354110705946653,31.43764554099549,-8.611847956975302,-28.46786379814148,0.001524197558561961,0.007034033536911011,0.0
dp_state,demo_003,13,12,12.161532936704809,11.817214354003589,-6.010053058465322,-21.03331685066223,0.6231703211863836,1.0,1.0
dp_state,demo_003,25,12,11.819772460657804,26.330811114342964,3.3497164646784463,-2.774566411972046,0.016158660252888996,1.0,1.0
dp_state,demo_003,38,12,24.801155916311757,84.61878863349776,5.360603332519531,-3.730893135070801,0.0018842965364456177,1.0,1.0
dp_state,demo_003,51,12,38.05962045776419,27.444575040152024,-0.7583548625310262,-15.324413776397705,0.0036794543266296387,1.0,1.0
dp_state,demo_003,64,12,24.568808428584113,24.283216257231786,-22.658872107664745,-34.784555435180664,0.3764188537995021,1.0,1.0
dp_state,demo_003,76,12,12.659553198942302,13.990142150076009,10.035450259844461,1.3653039932250977,0.27608546366294223,0.27202826738357544,1.0
dp_state,demo_003,89,12,13.296207989079011,2.7236874945353744,10.741176704565683,-4.102885723114014,0.017774852613608044,0.0856112539768219,0.0
dp_state,demo_004,0,12,29.167301254984373,32.8591994468007,4.246912896633148,-6.778240203857422,0.006792989869912465,0.023925483226776123,0.0
dp_state,demo_004,13,12,31.061812734830582,42.49071724135883,-28.99526556332906,-42.090535163879395,0.41820139437913895,1.0,0.0
dp_state,demo_004,27,12,9.86514554562593,5.188658405017222,-5.853414535522461,-16.246885061264038,0.29428020616372425,1.0,1.0
dp_state,demo_004,40,12,14.657770044040738,18.462831890835403,6.887204945087433,-10.648876428604126,0.005075414975484212,1.0,1.0
dp_state,demo_004,53,12,49.18160455261928,88.34373048966572,-3.397663434346517,-34.24030542373657,0.006362686554590861,1.0,1.0
dp_state,demo_004,66,12,15.591747188418903,8.95698672520658,6.599254906177521,-5.918383598327637,0.004033411542574565,1.0,1.0
dp_state,demo_004,80,12,20.250664115670485,31.09969296200161,-0.3531624873479207,-18.85312795639038,0.23551639914512634,1.0,1.0
dp_state,demo_004,93,12,25.175041039924047,46.95064390274891,-16.460133095582325,-38.82277011871338,0.1201976587375005,0.6997456550598145,0.0
dp_state,demo_005,0,12,24.640308597097523,31.539970068358304,17.13789502779643,3.9663612842559814,0.003554798662662506,0.024248629808425903,0.0
dp_state,demo_005,9,12,14.606054629680868,24.4888376492333,6.407308081785838,-2.8897225856781006,0.1484763224919637,0.9111430644989014,1.0
dp_state,demo_005,19,12,11.71671616010918,19.65888780260694,-4.600172241528829,-11.0359787940979,0.0014551530281702678,1.0,1.0
dp_state,demo_005,28,12,40.04349286604694,55.85373893655095,-35.73816021283468,-69.05350089073181,0.0020978848139444986,1.0,1.0
